University,programs,Admission
香港城市大学,理學碩士(生物醫學工程),"Hold a degree in engineering, science, or equivalent; or"
,,Be qualified for graduate membership of a professional institution; or
,,Other degrees will be considered on a case-by-case basis by a committee of experts.
,,Note: Priority will be given to those applicants who have biomedical engineering/science or bioengineering related academic background.
香港城市大学,理學碩士(健康科學與管理),Possess a recognized undergraduate degree in Biology/Medicine/Veterinary Sciences/Bioengineering or a related discipline;
,,"Preference will be given to individuals who have completed a holistic undergraduate education with knowledge covering statistics, cell biology, biochemistry, physiology, pathology, infectious diseases, pharmacology, food engineering, patient care, medicine, animal science, and/or business; and"
,,"Additional attention will be paid to students, who have little training in the health-related area to ensure that they can follow the progress of the programme."
香港城市大学,理學碩士(神經科學),Applicants should possess a recognised undergraduate degree in Life Science/ Bioengineering/ Psychology/ Medicine/ Dentistry/ Veterinary Medicine/ Biostatistics or a related discipline.
,,"Preference for admission will be given to individuals who have completed a holistic undergraduate education with knowledge covering statistics, neuroscience, psychology, physiology, pathology, pharmacology, medicine, animal science, and bioengineering."
,,"Additional attention will be paid to students, who have little training in health-related area to ensure that they can follow the progress of the programme."
香港城市大学,理學碩士 (商業及數據分析),hold a recognized Bachelor’s degree in any disciplines with the curricula covering appropriate mathematical knowledge.
,,"Selection will be based on the candidate’s academic performance in previous studies, relevant working experience (if any), motivation and potential of the candidate and performance in the interview."
香港城市大学,文學碩士(國際會計學),hold an accounting or finance degree from a recognised university; or
,,hold an equivalent qualification acceptable to CityUHK; and
,,preferably possess 2 years of experience in accounting or business disciplines.
香港城市大学,理學碩士(專業會計與企業管治),hold a non-accounting degree from a recognised university;
,,or
,,hold an equivalent qualification acceptable to CityUHK.
,,"For Corporate Governance Stream, applicants must:"
,,hold a degree from recognised universities or professional membership from recognized institutions; or
,,hold an equivalent qualification acceptable to CityUHK.
香港城市大学,理學碩士 (智能會計與金融科技應用)* [中文授課],"Obtained an undergraduate or higher degree in accounting, finance, or other related disciplines** from an institute recognized by our University or equivalent qualification; and"
,,Obtained 6 or more years of related working experience with at least two years relating to accounting or finance operations at the manager level.
,,"If a particularly good applicant does not meet the above admission requirements, CityUHK has the right to consider other outstanding qualities as appropriate, without compromising the quality of the programme."
香港城市大学,理學碩士(營運與供應鏈管理),Applicants must hold a recognized Bachelor's degree;
,,Working experience is preferred but NOT required.
香港城市大学,理學碩士(金融學),hold a bachelor’s degree from a recognized university; and
,,preferably possess more than 1 year of work experience in the industry.
香港城市大学,理學碩士(應用經濟學),Applicants must hold a bachelor’s degree from a recognized university. An undergraduate degree in economics or related areas is not a pre-requisite. Students with a solid quantitative background and commitment to academic study are encouraged to apply.
香港城市大学,理學碩士(金融工程學),hold a bachelor’s degree from a recognized university; and
,,preferably possess more than 1 year of work experience in the industry; and
,,have a strong foundation in quantitative analysis.
香港城市大学,理學碩士(商務資訊系統) - 智能系統管理方向,"hold a recognized Bachelor's degree in any subjects, preferably not in Information Systems or Computer Science related discipline, from one of the tertiary education institutions in Hong Kong funded by the University Grant Committee (UGC), or equivalent"
香港城市大学,理學碩士(商務資訊系統) - 金融與智能科技方向,"hold a recognized Bachelor's degree from one of the tertiary education institutions in Hong Kong funded by the University Grant Committee (UGC), or equivalent, with intermediate level knowledge on IT/IS or Finance/ Accounting (such as completion of fundamental related courses at the undergraduate level or with related working experience)"
香港城市大学,理學碩士(數碼化轉型及科技創新),"hold a recognized Bachelor’s degree, preferably in a business or management related subject from a UGC-funded tertiary education institution in Hong Kong, or an equivalent institution overseas;"
,,have gained a basic level of computer literacy; and
,,preferably have two or more years of working experience.
香港城市大学,理學碩士(電子商貿),"a recognised bachelor's degree in a Computing discipline (e.g., Computer Science, Information Systems, Information Technology); or"
,,"a recognised bachelor's degree in a related discipline (e.g., Electronic Engineering, Economics and Finance, Applied Mathematics, Manufacturing Engineering, Business Information Technology) preferably with applicable IT experience; or"
,,have obtained a good alternative qualification with substantial IT professional experience acceptable to the University; and
,,sufficient command of the English language.
香港城市大学,理學碩士(商業人工智能),"Hold a recognized Bachelor's degree from a tertiary education institution in Hong Kong funded by the University Grants Committee (UGC), or an equivalent degree. Applicants should have intermediate-level knowledge in IT/IS or business, demonstrated by completing relevant undergraduate courses or having related work experience."
香港城市大学,文學碩士(環球企業管理),"possess a recognized Bachelor’s degree with Second Class Honours or above, or the equivalent."
,,"Those who have at least three years of post-qualification managerial professional experience in international business or China-related activities OR have two years of post-qualification managerial and/or professional experience with a first degree or an equivalent qualification in business or a related discipline, will be given priority for admission. If applicants have fewer than two years of experience, their applications will be considered on a case-by-case basis."
香港城市大学,理學碩士(管理及創新),hold a recognized degree or equivalent.
香港城市大学,理學碩士(市場營銷學),"hold a recognized bachelor's degree, or equivalent."
,,preferably possess over 2 years of working experience in business.
香港城市大学,理學碩士(生物統計學),"Possess a recognized undergraduate degree that includes courses in the mathematical or biomedical sciences. Semester courses in calculus, linear/matrix algebra and introductory statistics are highly encouraged."
,,"Applicants who might not have solid training in mathematics and statistics during their undergraduate studies would also be considered. Prior coursework in linear algebra, calculus and statistics is highly desirable."
香港城市大学,理學碩士(電腦科學),"a recognised bachelor's degree in a computing discipline such as Computer Studies, Information Technology, Computer Engineering, Information Systems, or equivalent; or"
,,"a recognised bachelor's degree in a related discipline such as Electronic Engineering, Applied Mathematics, Manufacturing Engineering, Quantitative Analysis, or equivalent, together with applicable working experience in information technology."
香港城市大学,理學碩士(人工智能),"a recognised bachelor's degree in a computing discipline such as Computer Studies, Information Technology, Computer Engineering, Information Systems, or equivalent; or"
,,"a recognised bachelor's degree in a related discipline such as Electronic Engineering, Applied Mathematics, Manufacturing Engineering, Quantitative Analysis, or equivalent, together with applicable working experience in information technology; or"
,,a recognised bachelor's degree with substantial knowledge or background in information technology.
香港城市大学,理學碩士(數據科學),"Applicant must be a degree holder in Engineering, Science or other relevant disciplines, or its equivalent"
香港城市大学,理學碩士(工程管理學),"hold a degree in engineering, science or equivalent; or"
,,"be a graduate member or a non-member qualified for graduate membership of professional institutions, for example, the Hong Kong Institution of Engineers (HKIE), member institutions of the Engineering Council (UK) and other recognized professional institutions; or"
,,qualifications with evidence of academic and professional attainment acceptable to the University
香港城市大学,理學碩士(智能半導體製造),"hold a degree in engineering, science or equivalent; or"
,,"be a graduate member or a non-member qualified for graduate membership of professional institutions, for example, the Hong Kong Institution of Engineers (HKIE), member institutions of the Engineering Council (UK) and other recognized professional institutions; or"
,,qualifications with evidence of academic and professional attainment acceptable to the University
香港城市大学,理學碩士(建造管理),"a degree in a construction related discipline which would normally be Architecture, Building, Building Surveying, Quantity Surveying, or Building Services/Civil/Structural Engineering, or"
,,obtained an equivalent qualification or provided evidence of academic and professional attainments acceptable for this purpose to the University.
,,"Preference will normally be given to applicants who have the support of their employers in pursuing the programme and three years' post graduation work experience in the construction industry, preferably with managerial responsibility."
香港城市大学,理學碩士(土木及建築工程),possess first degrees in a construction-related discipline from a non-local institution recognised for this purpose by the University;
香港城市大学,城巿設計與規劃學碩士,"Applicants should have a bachelor degree in a relevant discipline, or obtained an equivalent qualification or provided evidence of academic and professional attainments acceptable for this purpose to the University. Preference for admission is given to individuals who have completed a balanced undergraduate education that includes study in the arts, sciences, humanities and engineering, especially for those who have architecture, planning, civil engineering, surveying and construction related training."
,,
,,The admission committee will consider prospective students’ ability and eagerness to be a professional in the discipline of urban planning and design rather than whether their previous experiences relate to urban planning and design.
香港城市大学,建築學碩士,"For admission to MArch, applicants should possess a recognised undergraduate degree in architecture/architectural studies. Preference for admission is given to individuals who have completed a balanced undergraduate education that includes study in the arts, sciences, humanities and engineering."
香港城市大学,理學碩士(電子資訊工程學),A degree of one of the universities in Hong Kong or an overseas institution recognized for this purpose by the University
香港城市大学,理學碩士(多媒體資訊科技),"possess a BSc or BEng degree in related disciplines such as Information Technology, Information Engineering, Computer Science, Computer Engineering, Information Systems, Electronic/Electrical Engineering, Applied Mathematics (preferably with a minor in Computer Science) and Applied Physics (preferably with a minor in Computer Science);"
香港城市大学,理學碩士(材料工程及納米科技),"have a degree in a relevant physical science or engineering discipline such as Physics, Chemistry, Civil / Electrical / Electronic / Manufacturing / Mechanical Engineering, Materials Science / Technology and Building, or equivalent."
香港城市大学,理學碩士(機械工程學),Hold a degree in engineering or equivalent;
,,Applicants must have mechanical engineering or related engineering academic background.
香港城市大学,文學碩士(中國語言文學與歷史),hold a degree of a level equivalent to (a) above from a local or non-local institution recognized for this purpose by the University。applicants are expected to meet the following specific Chinese language requirement:
,,(a) have satisfactorily completed at least one tertiary level Chinese course of 30-hour or more which includes substantial written Chinese elements ; or
